"RollNo          Marks"
"2201641520150   83"
"2201641520151   66"
"2201641520152   73"
"2201641520153   51"
"2201641520154   76"
"2201641520155   71"
"2201641520156   53"
"2201641520157   64"
"2201641520158   81"
"2201641520159   54"
"2201641520160   65"
"2201641520161   84"
"2201641520162   71"
"2201641520163   74"
"2201641520164   88"
"2201641520165   58"
"2201641520166   69"
"2201641520167   67"
"2201641520168   57"
"2201641520169   47"
"2201641520170   70"
"2201641520171   65"
"2201641520172   77"
"2201641520173   80"
"2201641520174   83"
"2201641520175   67"
"2201641520176   82"
"2201641520177   78"
"2201641520178   45"
"2201641520179   66"
"2201641520180   65"
"2201641520181   90"
"2201641520182   65"
"2201641520183   60"
"2201641520184   76"
"2201641520185   67"
"2201641520186   47"
"2201641520187   65"
"2201641520188   81"
"2201641520189   62"
"2201641520190   55"
"2201641520191   57"
"2201641520192   59"
"2201641520193   74"
"2201641520194   74"
"2201641520195   65"
"2201641520196   71"
"2201641520197   74"
"2201641520198   67"
"2201641520199   51"
"2201641520200   53"
"2201641520201   70"
"2201641520202   64"
"2201641520203   85"
"2201641520204   58"
"2201641520205   61"
"2201641520206   79"
"2201641520207   65"
"2201641520208   57"
"2201641520209   73"
"2201641520210   70"
"2201641520211   63"
"2201641520212   48"
"2201641520213   56"
"2201641520214   80"
"2201641520215   60"
"2201641520216   62"
"2201641520217   62"
"2201641520218   65"
"2201641520219   77"
"2201641520220   62"
"2201641520221   80"
"2201641520222   79"
"2201641520223   58"
"2201641520224   57"
"2201641520225   48"
"2201641520226   69"
"2201641520227   74"
"2201641520228   73"
"2201641520229   62"
"2201641520230   68"
"2201641520231   64"
"2201641520232   67"
"2201641520233   55"
"2201641520234   71"
"2201641520235   60"
"2201641520236   72"
"2201641520237   67"
"2201641520238   55"
"2201641520239   75"
"2201641520240   68"
"2201641520241   52"
"2201641520242   69"
"2201641520243   62"
"2201641520244   66"
"2201641520245   58"
"2201641520246   73"
"2201641520247   50"
"2201641520248   65"
"2201641520249   48"
"2201641520250   67"
"2201641520251   73"
"2201641520252   66"
"2201641520253   45"
"2201641520254   74"
"2201641520255   52"
"2201641520256   49"
"2201641520257   61"
"2201641520258   66"
"2201641520259   53"
"2201641520260   64"
"2201641520261   73"
"2201641520262   68"
"2201641520263   63"
"2201641520264   59"
"2201641520265   60"
"2201641520266   67"
"2201641520267   50"
"2201641520268   64"
"2201641520269   75"
"2201641520270   80"
"2201641520271   44"
"2201641520272   54"
"2201641520273   53"
"2201641520274   93"
"2201641520275   58"
"2201641520276   41"
"2201641520277   72"
"2201641520278   74"
"2201641520279   77"
"2201641520280   59"
"2201641520281   69"
"2201641520282   65"
"2201641520283   61"
"2201641520284   65"
"2201641520285   58"
"2201641520286   75"
"2201641520287   59"
"2201641520288   64"
"2201641520289   66"
"2201641520290   59"
"2201641520291   63"
"2201641520292   66"
"2201641520293   62"
"2201641520294   67"
"2201641520295   53"
"2201641520296   74"
"2201641520297   63"
"2201641520298   73"
"2201641520299   65"
"2201641520300   55"
"2201641520301   63"
"2201641520302   67"
"2201641520303   56"
"2201641520304   51"
"2201641520305   60"
"2201641520306   72"
"2201641520307   76"
"2201641520308   80"
"2201641520309   77"
"2201641520310   63"
"2201641520311   64"
"2201641520312   65"
"2201641520313   75"
"2201641520314   52"
"2201641520315   77"
"2201641520316   65"
"2201641520317   55"
"2201641520318   54"
"2201641520319   52"
"2201641520320   64"
"2201641520321   81"
"2201641520322   81"
"2201641520323   58"
"2201641520324   49"
"2201641520325   71"
"2201641520326   63"
"2201641520327   67"
"2201641520328   77"
"2201641520329   55"
"2201641520330   67"
"2201641520331   56"
"2201641520332   58"
"2201641520333   68"
"2201641520334   84"
"2201641520335   83"
"2201641520336   65"
"2201641520337   67"
"2201641520338   76"
"2201641520339   75"
"2201641520340   57"
"2201641520341   60"
"2201641520342   65"
"2201641520343   63"
"2201641520344   57"
"2201641520345   70"
"2201641520346   60"
"2201641520347   57"
"2201641520348   68"
"2201641520349   68"
"2201641520350   80"
"2201641520351   78"
"2201641520352   70"
"2201641520353   62"
"2201641520354   67"
"2201641520355   68"
"2201641520356   57"
"2201641520357   71"
"2201641520358   72"
"2201641520359   41"
"2201641520360   53"
"2201641520361   62"
"2201641520362   62"
"2201641520363   77"
"2201641520364   74"
"2201641520365   64"
"2201641520366   67"
"2201641520367   61"
"2201641520368   66"
"2201641520369   79"
"2201641520370   63"
"2201641520371   60"
"2201641520372   62"
"2201641520373   67"
"2201641520374   49"
"2201641520375   58"
"2201641520376   59"
"2201641520377   66"
"2201641520378   61"
"2201641520379   69"
"2201641520380   70"
"2201641520381   56"
"2201641520382   59"
"2201641520383   72"
"2201641520384   83"
"2201641520385   70"
"2201641520386   59"
"2201641520387   56"
"2201641520388   77"
"2201641520389   59"
"2201641520390   64"
"2201641520391   78"
"2201641520392   55"
"2201641520393   54"
"2201641520394   59"
"2201641520395   64"
"2201641520396   80"
"2201641520397   72"
"2201641520398   53"
"2201641520399   69"
"2201641520400   53"
"2201641520401   80"
"2201641520402   64"
"2201641520403   78"
"2201641520404   56"
"2201641520405   64"
"2201641520406   72"
"2201641520407   21"
"2201641520408   57"
"2201641520409   68"
"2201641520410   75"
"2201641520411   64"
"2201641520412   74"
"2201641520413   76"
"2201641520414   69"
"2201641520415   79"
"2201641520416   52"
"2201641520417   60"
"2201641520418   68"
"2201641520419   61"
"2201641520420   52"
"2201641520421   66"
"2201641520422   70"
"2201641520423   61"
"2201641520424   60"
"2201641520425   60"
"2201641520426   66"
"2201641520427   76"
"2201641520428   64"
"2201641520429   66"
"2201641520430   76"
"2201641520431   68"
"2201641520432   66"
"2201641520433   87"
"2201641520434   61"
"2201641520435   77"
"2201641520436   70"
"2201641520437   66"
"2201641520438   69"
"2201641520439   52"
"2201641520440   79"
"2201641520441   68"
"2201641520442   75"
"2201641520443   69"
"2201641520444   71"
"2201641520445   67"
"2201641520446   41"
"2201641520447   65"
"2201641520448   69"
"2201641520449   64"
"2201641520450   57"
"2201641520451   72"
"2201641520452   68"
"2201641520453   75"
"2201641520454   61"
"2201641520455   51"
"2201641520456   53"
"2201641520457   52"
"2201641520458   68"
"2201641520459   59"
"2201641520460   46"
"2201641520461   67"
"2201641520462   71"
"2201641520463   74"
"2201641520464   65"
"2201641520465   71"
"2201641520466   58"
"2201641520467   72"
"2201641520468   74"
"2201641520469   79"
"2201641520470   68"
"2201641520471   55"
"2201641520472   43"
"2201641520473   65"
"2201641520474   58"
"2201641520475   68"
"2201641520476   63"
"2201641520477   59"
"2201641520478   79"
"2201641520479   71"
"2201641520480   60"
"2201641520481   69"
"2201641520482   69"
"2201641520483   74"
"2201641520484   57"
"2201641520485   70"
"2201641520486   58"
"2201641520487   76"
"2201641520488   73"
"2201641520489   65"
"2201641520490   59"
"2201641520491   59"
"2201641520492   71"
"2201641520493   72"
"2201641520494   61"
"2201641520495   68"
"2201641520496   54"
"2201641520497   77"
"2201641520498   63"
"2201641520499   56"
"2201641520500   62"
"2201641520501   64"
"2201641520502   66"
"2201641520503   83"
"2201641520504   74"
"2201641520505   72"
"2201641520506   70"
"2201641520507   47"
"2201641520508   96"
"2201641520509   55"
"2201641520510   63"
"2201641520511   72"
"2201641520512   51"
"2201641520513   63"
"2201641520514   58"
"2201641520515   53"
"2201641520516   65"
"2201641520517   61"
"2201641520518   48"
"2201641520519   69"
"2201641520520   46"
"2201641520521   80"
"2201641520522   67"
"2201641520523   64"
"2201641520524   69"
"2201641520525   57"
"2201641520526   53"
"2201641520527   72"
"2201641520528   46"
"2201641520529   68"
"2201641520530   58"
"2201641520531   69"
"2201641520532   60"
"2201641520533   64"
"2201641520534   55"
"2201641520535   66"
"2201641520536   73"
"2201641520537   64"
"2201641520538   57"
"2201641520539   76"
"2201641520540   53"
"2201641520541   84"
"2201641520542   57"
"2201641520543   63"
"2201641520544   61"
"2201641520545   74"
"2201641520546   65"
"2201641520547   60"
"2201641520548   79"
"2201641520549   65"
"2201641520550   54"
"2201641520551   53"
"2201641520552   69"
"2201641520553   63"
"2201641520554   66"
"2201641520555   63"
"2201641520556   69"
"2201641520557   64"
"2201641520558   52"
"2201641520559   66"
"2201641520560   65"
"2201641520561   74"
"2201641520562   57"
"2201641520563   74"
"2201641520564   59"
"2201641520565   67"
"2201641520566   79"
"2201641520567   52"
"2201641520568   75"
"2201641520569   58"
"2201641520570   58"
"2201641520571   51"
"2201641520572   29"
"2201641520573   65"
"2201641520574   47"
"2201641520575   82"
"2201641520576   69"
"2201641520577   60"
"2201641520578   63"
"2201641520579   58"
"2201641520580   82"
"2201641520581   68"
"2201641520582   67"
"2201641520583   70"
"2201641520584   73"
"2201641520585   73"
"2201641520586   63"
"2201641520587   60"
"2201641520588   74"
"2201641520589   82"
"2201641520590   85"
"2201641520591   56"
"2201641520592   47"
"2201641520593   57"
"2201641520594   59"
"2201641520595   74"
"2201641520596   67"
"2201641520597   56"
"2201641520598   46"
"2201641520599   74"
"2201641520600   48"
"2201641520601   75"
"2201641520602   59"
"2201641520603   82"
"2201641520604   64"
"2201641520605   74"
"2201641520606   71"
"2201641520607   24"
"2201641520608   50"
"2201641520609   53"
"2201641520610   75"
"2201641520611   48"
"2201641520612   71"
"2201641520613   78"
"2201641520614   62"
"2201641520615   72"
"2201641520616   56"
"2201641520617   67"
"2201641520618   50"
"2201641520619   76"
"2201641520620   55"
"2201641520621   72"
"2201641520622   53"
"2201641520623   75"
"2201641520624   60"
"2201641520625   74"
"2201641520626   70"
"2201641520627   64"
"2201641520628   60"
"2201641520629   75"
"2201641520630   44"
"2201641520631   83"
"2201641520632   72"
"2201641520633   83"
"2201641520634   80"
"2201641520635   62"
"2201641520636   55"
"2201641520637   72"
"2201641520638   56"
"2201641520639   60"
"2201641520640   60"
"2201641520641   66"
"2201641520642   67"
"2201641520643   62"
"2201641520644   75"
"2201641520645   79"
"2201641520646   54"
"2201641520647   78"
"2201641520648   69"
"2201641520649   59"
"2201641520650   64"
"2201641520651   76"
"2201641520652   70"
"2201641520653   61"
"2201641520654   63"
"2201641520655   60"
"2201641520656   56"
"2201641520657   78"
"2201641520658   64"
"2201641520659   64"
"2201641520660   66"
"2201641520661   62"
"2201641520662   60"
"2201641520663   61"
"2201641520664   70"
"2201641520665   82"
"2201641520666   58"
"2201641520667   61"
"2201641520668   66"
"2201641520669   73"
"2201641520670   70"
"2201641520671   63"
"2201641520672   52"
"2201641520673   71"
"2201641520674   69"
"2201641520675   63"
"2201641520676   74"
"2201641520677   71"
"2201641520678   72"
"2201641520679   74"
"2201641520680   45"
"2201641520681   75"
"2201641520682   60"
"2201641520683   64"
"2201641520684   50"
"2201641520685   71"
"2201641520686   58"
"2201641520687   71"
"2201641520688   56"
"2201641520689   59"
"2201641520690   68"
"2201641520691   48"
"2201641520692   56"
"2201641520693   69"
"2201641520694   76"
"2201641520695   76"
"2201641520696   65"
"2201641520697   82"
"2201641520698   93"
"2201641520699   73"
"2201641520700   68"
"2201641520701   46"
"2201641520702   77"
"2201641520703   77"
"2201641520704   61"
"2201641520705   59"
"2201641520706   78"
"2201641520707   58"
"2201641520708   76"
"2201641520709   79"
"2201641520710   51"
"2201641520711   66"
"2201641520712   67"
"2201641520713   70"
"2201641520714   72"
"2201641520715   74"
"2201641520716   63"
"2201641520717   52"
"2201641520718   54"
"2201641520719   74"
"2201641520720   64"
"2201641520721   66"
"2201641520722   63"
"2201641520723   60"
"2201641520724   65"
"2201641520725   69"
"2201641520726   60"
"2201641520727   71"
"2201641520728   67"
"2201641520729   56"
"2201641520730   67"
"2201641520731   80"
"2201641520732   58"
"2201641520733   67"
"2201641520734   68"
"2201641520735   63"
"2201641520736   61"
"2201641520737   56"
"2201641520738   53"
"2201641520739   58"
"2201641520740   64"
"2201641520741   56"
"2201641520742   66"
"2201641520743   66"
"2201641520744   42"
"2201641520745   59"
"2201641520746   51"
"2201641520747   54"
"2201641520748   47"
"2201641520749   69"
"2201641520750   61"
"2201641520751   62"
"2201641520752   67"
"2201641520753   51"
"2201641520754   57"
"2201641520755   66"
"2201641520756   59"
"2201641520757   70"
"2201641520758   73"
"2201641520759   72"
"2201641520760   69"
"2201641520761   64"
"2201641520762   75"
"2201641520763   75"
"2201641520764   56"
"2201641520765   64"
"2201641520766   58"
"2201641520767   60"
"2201641520768   68"
"2201641520769   77"
"2201641520770   62"
"2201641520771   62"
"2201641520772   77"
"2201641520773   75"
"2201641520774   52"
"2201641520775   64"
"2201641520776   43"
"2201641520777   81"
"2201641520778   64"
"2201641520779   79"
"2201641520780   40"
"2201641520781   48"
"2201641520782   47"
"2201641520783   51"
"2201641520784   69"
"2201641520785   87"
"2201641520786   53"
"2201641520787   62"
"2201641520788   65"
"2201641520789   57"
"2201641520790   63"
"2201641520791   97"
"2201641520792   75"
"2201641520793   43"
"2201641520794   51"
"2201641520795   34"
"2201641520796   79"
"2201641520797   76"
"2201641520798   64"
"2201641520799   36"
"2201641520800   82"
"2201641520801   70"
"2201641520802   64"
"2201641520803   62"
"2201641520804   83"
"2201641520805   68"
"2201641520806   79"
"2201641520807   55"
"2201641520808   66"
"2201641520809   68"
"2201641520810   66"
"2201641520811   74"
"2201641520812   76"
"2201641520813   58"
"2201641520814   23"
"2201641520815   49"
"2201641520816   78"
"2201641520817   59"
"2201641520818   74"
"2201641520819   60"
"2201641520820   75"
"2201641520821   86"
"2201641520822   50"
"2201641520823   67"
"2201641520824   72"
"2201641520825   61"
"2201641520826   78"
"2201641520827   78"
"2201641520828   75"
"2201641520829   57"
"2201641520830   62"
"2201641520831   60"
"2201641520832   68"
"2201641520833   51"
"2201641520834   54"
"2201641520835   83"
"2201641520836   59"
"2201641520837   85"
"2201641520838   59"
"2201641520839   62"
"2201641520840   58"
"2201641520841   70"
"2201641520842   90"
"2201641520843   80"
"2201641520844   70"
"2201641520845   47"
"2201641520846   69"
"2201641520847   80"
"2201641520848   66"
"2201641520849   67"
"2201641520850   68"
"2201641520851   96"
"2201641520852   63"
"2201641520853   54"
"2201641520854   79"
"2201641520855   74"
"2201641520856   67"
"2201641520857   66"
"2201641520858   46"
"2201641520859   71"
"2201641520860   70"
"2201641520861   52"
"2201641520862   68"
"2201641520863   78"
"2201641520864   52"
"2201641520865   70"
"2201641520866   58"
"2201641520867   73"
"2201641520868   67"
"2201641520869   80"
"2201641520870   70"
"2201641520871   69"
"2201641520872   65"
"2201641520873   66"
"2201641520874   72"
"2201641520875   48"
"2201641520876   77"
"2201641520877   66"
"2201641520878   63"
"2201641520879   53"
"2201641520880   34"
"2201641520881   68"
"2201641520882   62"
"2201641520883   48"
"2201641520884   70"
"2201641520885   71"
"2201641520886   62"
"2201641520887   67"
"2201641520888   86"
"2201641520889   58"
"2201641520890   61"
"2201641520891   63"
"2201641520892   67"
"2201641520893   52"
"2201641520894   85"
"2201641520895   53"
"2201641520896   63"
"2201641520897   73"
"2201641520898   78"
"2201641520899   81"
"2201641520900   69"
"2201641520901   58"
"2201641520902   62"
"2201641520903   52"
"2201641520904   46"
"2201641520905   69"
"2201641520906   78"
"2201641520907   79"
"2201641520908   69"
"2201641520909   54"
"2201641520910   51"
"2201641520911   58"
"2201641520912   65"
"2201641520913   63"
"2201641520914   82"
"2201641520915   71"
"2201641520916   69"
"2201641520917   45"
"2201641520918   48"
"2201641520919   69"
"2201641520920   61"
"2201641520921   80"
"2201641520922   70"
"2201641520923   63"
"2201641520924   68"
"2201641520925   64"
"2201641520926   60"
"2201641520927   54"
"2201641520928   63"
"2201641520929   61"
"2201641520930   62"
"2201641520931   65"
"2201641520932   77"
"2201641520933   85"
"2201641520934   62"
"2201641520935   62"
"2201641520936   63"
"2201641520937   78"
"2201641520938   56"
"2201641520939   61"
"2201641520940   59"
"2201641520941   60"
"2201641520942   78"
"2201641520943   58"
"2201641520944   60"
"2201641520945   42"
"2201641520946   63"
"2201641520947   63"
"2201641520948   75"
"2201641520949   59"
"2201641520950   78"
"2201641520951   61"
"2201641520952   59"
"2201641520953   69"
"2201641520954   60"
"2201641520955   66"
"2201641520956   57"
"2201641520957   42"
"2201641520958   56"
"2201641520959   57"
"2201641520960   59"
"2201641520961   62"
"2201641520962   55"
"2201641520963   72"
"2201641520964   78"
"2201641520965   56"
"2201641520966   73"
"2201641520967   63"
"2201641520968   60"
"2201641520969   58"
"2201641520970   60"
"2201641520971   75"
"2201641520972   67"
"2201641520973   69"
"2201641520974   58"
"2201641520975   73"
"2201641520976   72"
"2201641520977   44"
"2201641520978   66"
"2201641520979   75"
"2201641520980   64"
"2201641520981   44"
"2201641520982   73"
"2201641520983   76"
"2201641520984   70"
"2201641520985   78"
"2201641520986   67"
"2201641520987   78"
"2201641520988   45"
"2201641520989   52"
"2201641520990   78"
"2201641520991   77"
"2201641520992   67"
"2201641520993   53"
"2201641520994   77"
"2201641520995   65"
"2201641520996   78"
"2201641520997   56"
"2201641520998   55"
"2201641520999   54"
""
